Wall time,Step,Value
1571334382.4339557,1800001,6.860000133514404
1571334594.027347,1810001,7.159999847412109
1571334805.1367562,1820001,7.480000019073486
1571335016.6171205,1830001,8.130000114440918
1571335228.6155698,1840001,8.550000190734863
1571335439.6513815,1850001,9.140000343322754
1571335651.4178352,1860001,9.5600004196167
1571335863.2376556,1870001,10.079999923706055
1571336074.47272,1880001,10.579999923706055
1571336286.253085,1890001,10.90999984741211
1571336498.0955758,1900001,11.319999694824219
1571336709.83265,1910001,11.739999771118164
1571336917.1075065,1920001,11.930000305175781
1571337121.0591147,1930001,11.949999809265137
1571337323.994091,1940001,12.289999961853027
1571337526.5251112,1950001,12.210000038146973
1571337729.90397,1960001,12.220000267028809
1571337932.6392202,1970001,12.460000038146973
1571338136.68627,1980001,12.829999923706055
1571338339.135396,1990001,13.010000228881836
1571338542.8078127,2000001,13.09000015258789
1571338745.9014008,2010001,13.149999618530273
1571338947.207682,2020001,13.130000114440918
1571339148.613369,2030001,13.260000228881836
1571339352.5461273,2040001,13.15999984741211
1571339553.2350311,2050001,13.0600004196167
1571339753.6426988,2060001,13.069999694824219
1571339956.4779427,2070001,12.920000076293945
1571340159.1061907,2080001,12.680000305175781
1571340360.176401,2090001,12.75
1571340563.6041903,2100001,12.65999984741211
1571340764.7912822,2110001,12.630000114440918
1571340978.4557548,2120001,12.489999771118164
1571341188.7191544,2130001,12.399999618530273
1571341399.612257,2140001,12.449999809265137
1571341612.140516,2150001,12.34000015258789
1571341825.022596,2160001,12.470000267028809
1571342037.4986691,2170001,12.460000038146973
1571342249.659718,2180001,12.399999618530273
1571342461.864579,2190001,12.510000228881836
1571342673.5153224,2200001,12.3100004196167
1571342885.9903648,2210001,12.1899995803833
1571343096.4135633,2220001,12.239999771118164
1571343308.2722185,2230001,12.4399995803833
1571343519.6957939,2240001,12.510000228881836
1571343729.4468632,2250001,12.40999984741211
1571343941.208728,2260001,12.380000114440918
1571344152.2102482,2270001,12.380000114440918
1571344364.3034415,2280001,12.479999542236328
1571344575.8343709,2290001,12.550000190734863
1571344785.878711,2300001,12.600000381469727
1571344997.4138775,2310001,12.6899995803833
1571345210.1075993,2320001,12.8100004196167
1571345424.0344746,2330001,13.0
1571345637.7595146,2340001,13.260000228881836
1571345848.5786955,2350001,13.520000457763672
1571346060.6452248,2360001,13.59000015258789
